#KO	Bran_1	Bran_2	PS_2	PS_3	CO_2	CO_3	Faeces_BR	Faeces_PS
K01318	0	1	0	0	0	0	0	0
K01322	1	0	0	0	0	0	0	1
K01338	2	2	0	0	2	0	0	1
K01354	2	2	2	0	2	2	0	1
K01356	1	2	1	3	2	2	1	2
K01358	2	4	1	1	3	1	5	7
K01372	1	0	2	4	1	1	0	1
K01406	0	0	0	1	0	0	0	0
K01407	1	2	0	0	2	1	0	0
K01409	2	2	3	4	2	3	3	2
K01414	1	2	0	0	2	1	0	0
K01417	0	0	0	0	0	0	0	1
K01419	1	1	0	1	1	2	4	0
K01420	1	1	0	0	1	1	1	0
K01421	2	0	7	7	2	2	3	1
K01423	0	1	0	0	1	2	0	1
K01424	3	3	3	5	1	3	3	0
K01425	1	1	1	0	1	1	1	3
K01426	3	0	3	1	1	1	1	7
K01428	0	2	0	0	1	0	1	1
K01429	0	2	0	0	0	0	0	1
K01430	0	0	0	0	0	1	0	1
K01432	0	1	0	0	0	0	0	0
K01433	3	2	1	0	2	1	0	3
K01438	3	3	0	0	2	2	1	1
K01439	0	2	0	1	2	2	2	2
K01443	3	4	6	4	3	0	3	2
K01444	0	1	1	2	1	0	1	0
K01447	0	0	1	0	0	1	0	2
K01448	3	4	2	1	10	3	4	3
K01449	0	1	0	0	0	0	0	0
K01451	2	3	0	0	2	0	2	0
K01457	1	0	0	0	1	1	2	0
K01458	1	0	0	0	0	1	1	1
K01460	2	0	0	0	1	1	1	0
K01462	1	1	3	5	4	1	3	6
K01464	3	1	0	1	0	2	0	0
K01465	1	0	1	2	1	1	2	2
K01466	0	0	0	0	0	0	0	2
K01467	1	0	0	0	0	0	1	0
K01468	2	1	0	0	2	2	0	1
K01470	0	0	1	0	1	1	1	1
K01473	0	0	0	0	0	0	0	1
K01474	0	0	0	0	0	0	0	1
K01476	0	0	0	0	0	0	0	1
K01478	2	1	2	1	3	1	1	2
K01479	0	1	0	0	1	1	0	1
K01480	0	1	1	0	0	3	1	0
K01482	0	0	0	0	0	1	0	1
K01483	0	0	0	0	0	1	0	1
K01484	1	2	0	0	1	1	0	1
K01485	2	2	1	0	4	2	2	4
K01486	1	1	2	0	1	1	1	1
K01487	0	0	0	0	2	2	0	1
K01488	1	3	1	1	4	0	2	1
K01489	1	0	5	5	5	1	1	0
K01491	3	3	1	1	2	0	2	3
K01493	1	1	2	1	0	0	1	0
K01494	1	1	0	0	1	2	1	1
K01495	1	2	1	2	2	1	3	3
K01496	0	0	1	0	0	0	0	1
K01497	1	2	0	0	1	0	2	1
K01506	0	0	0	0	0	0	0	1
K01507	0	4	0	0	0	1	1	1
K01512	2	2	1	2	1	0	1	1
K01515	1	1	1	2	2	1	3	2
K01520	1	2	5	2	2	3	3	1
K01521	2	1	1	0	2	0	0	1
K01524	4	4	3	0	1	0	1	2
K01525	3	2	0	0	1	1	1	0
K01529	0	2	0	0	0	1	1	0
K01531	1	1	3	2	3	1	1	1
K01533	1	0	1	2	0	0	1	1
K01534	1	2	2	1	2	2	1	1
K01537	0	0	1	0	1	0	1	1
K01545	0	0	0	0	0	0	0	1
K01546	2	1	1	1	4	2	1	2
K01547	1	0	0	1	3	1	4	1
K01548	2	1	0	1	3	2	2	4
K01551	1	1	1	1	0	0	1	2
K01552	0	1	0	0	1	0	0	0
K01555	0	0	0	0	0	0	0	1
K01557	1	2	0	0	0	0	1	1
K01561	0	0	0	0	0	0	0	1
K01571	0	0	0	0	1	0	0	0
K01573	0	0	1	0	1	2	1	1
K01575	2	1	1	3	2	1	1	0
K01579	2	1	2	1	3	2	1	0
K01581	0	0	0	0	0	0	0	2
K01582	0	2	0	0	0	1	1	0
K01584	0	0	0	0	0	0	0	1
K01585	0	0	0	0	0	0	0	1
K01586	1	3	1	1	3	3	2	2
K01588	0	2	3	1	1	3	4	7
K01589	2	0	3	2	2	3	4	1
K01590	0	0	0	0	0	1	1	0
K01591	2	3	3	2	3	1	1	1
K01595	2	2	1	0	2	2	0	1
K01596	0	0	0	0	0	0	0	1
K01597	0	1	3	4	0	0	1	0
K01599	2	3	0	0	1	1	1	3
K01607	6	1	5	2	4	6	6	2
K01608	0	0	0	0	1	1	0	0
K01609	0	0	1	0	0	0	0	0
K01610	1	1	1	2	1	3	1	0
K01611	2	1	1	0	2	0	1	0
K01612	2	0	0	0	2	1	1	0
K01613	1	2	1	0	1	1	0	0
K01619	3	4	3	6	3	1	2	2
K01620	1	2	0	1	0	2	2	0
K01621	2	1	3	5	1	0	2	1
K01623	1	0	0	1	0	0	0	0
K01624	3	5	3	7	5	4	3	5
K01625	0	2	4	5	1	0	5	2
K01626	6	4	2	2	6	2	2	2
K01627	1	1	0	0	0	1	1	0
K01628	1	1	2	2	0	0	0	0
K01629	1	2	1	4	1	1	3	1
K01630	1	2	0	0	1	2	1	0
K01631	2	1	0	0	3	4	0	0
K01633	3	1	1	1	2	0	3	1
K01634	0	0	0	0	0	0	0	1
K01635	0	0	3	4	4	1	0	1
K01637	1	1	0	0	1	2	2	1
K01638	0	0	1	0	0	1	1	1
K01639	1	0	0	0	1	3	0	1
K01640	0	0	0	0	0	0	0	2
K01641	1	0	1	2	0	1	2	1
K01643	1	1	1	0	2	0	5	0
K01644	0	2	2	0	2	2	1	3
K01646	0	2	0	1	2	2	3	0
K01647	3	1	0	0	2	1	1	2
K01649	3	3	1	0	4	2	1	1
K01652	3	5	0	0	4	5	4	3
